Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , COGS , Profit ,Date, Month Name ,Year
Small Business,France, VTT , Medium ," $1,221.00 ", $250.00 , $300.00 ," $366,300.00 "," $305,250.00 "," $39,072.00 ",10-01-2013, October ,2013
Enterprise,France, Amarilla , Medium ," $1,987.50 ", $260.00 , $125.00 ," $248,437.50 "," $238,500.00 "," $(4,968.75)",01-01-2014, January ,2014
Government,France, Amarilla , Medium ," $1,403.00 ", $260.00 , $7.00 ," $9,821.00 "," $7,015.00 "," $2,216.74 ",10-01-2013, October ,2013
Government,France, Amarilla , Medium ," $2,076.00 ", $260.00 , $350.00 ," $726,600.00 "," $539,760.00 "," $143,244.00 ",10-01-2013, October ,2013
Government,France, Montana , Medium ," $1,757.00 ", $5.00 , $20.00 ," $35,140.00 "," $17,570.00 "," $15,461.60 ",10-01-2013, October ,2013
Government,France, Paseo , Medium ," $1,757.00 ", $10.00 , $20.00 ," $35,140.00 "," $17,570.00 "," $15,461.60 ",10-01-2013, October ,2013
Channel Partners,France, Montana , Medium ," $2,342.00 ", $5.00 , $12.00 ," $28,104.00 "," $7,026.00 "," $19,110.72 ",11-01-2014, November ,2014
Government,France, Paseo , Medium ," $1,031.00 ", $10.00 , $7.00 ," $7,217.00 "," $5,155.00 "," $1,556.81 ",09-01-2013, September ,2013
Channel Partners,France, VTT , Medium ," $1,738.50 ", $250.00 , $12.00 ," $20,862.00 "," $5,215.50 "," $14,186.16 ",04-01-2014, April ,2014
Small Business,France, Carretera , Medium , $448.00 , $3.00 , $300.00 ," $134,400.00 "," $112,000.00 "," $12,992.00 ",06-01-2014, June ,2014
Small Business,France, Carretera , Medium ," $2,181.00 ", $3.00 , $300.00 ," $654,300.00 "," $545,250.00 "," $63,249.00 ",10-01-2014, October ,2014
Government,France, Montana , Medium ," $1,976.00 ", $5.00 , $20.00 ," $39,520.00 "," $19,760.00 "," $16,993.60 ",10-01-2014, October ,2014
Small Business,France, Montana , Medium ," $2,181.00 ", $5.00 , $300.00 ," $654,300.00 "," $545,250.00 "," $63,249.00 ",10-01-2014, October ,2014
Small Business,France, Paseo , Medium , $448.00 , $10.00 , $300.00 ," $134,400.00 "," $112,000.00 "," $12,992.00 ",06-01-2014, June ,2014
Midmarket,France, Paseo , Medium ," $2,101.00 ", $10.00 , $15.00 ," $31,515.00 "," $21,010.00 "," $8,298.95 ",08-01-2014, August ,2014
Government,France, Paseo , Medium ," $1,535.00 ", $10.00 , $20.00 ," $30,700.00 "," $15,350.00 "," $13,201.00 ",09-01-2014, September ,2014
Small Business,France, Velo , Medium ," $1,659.00 ", $120.00 , $300.00 ," $497,700.00 "," $414,750.00 "," $48,111.00 ",07-01-2014, July ,2014
Government,France, Velo , Medium ," $1,976.00 ", $120.00 , $20.00 ," $39,520.00 "," $19,760.00 "," $16,993.60 ",10-01-2014, October ,2014
Small Business,France, VTT , Medium , $959.00 , $250.00 , $300.00 ," $287,700.00 "," $239,750.00 "," $27,811.00 ",02-01-2014, February ,2014
Government,France, Amarilla , Medium ," $2,876.00 ", $260.00 , $350.00 ," $1,006,600.00 "," $747,760.00 "," $188,378.00 ",09-01-2014, September ,2014
Midmarket,France, Carretera , Medium , $490.00 , $3.00 , $15.00 ," $7,350.00 "," $4,900.00 "," $1,862.00 ",11-01-2014, November ,2014
Midmarket,France, Montana , Medium ," $2,501.00 ", $5.00 , $15.00 ," $37,515.00 "," $25,010.00 "," $9,503.80 ",03-01-2014, March ,2014
Small Business,France, Montana , Medium ," $1,562.00 ", $5.00 , $300.00 ," $468,600.00 "," $390,500.00 "," $40,612.00 ",08-01-2014, August ,2014
Small Business,France, Velo , Medium , $386.00 , $120.00 , $300.00 ," $115,800.00 "," $96,500.00 "," $10,036.00 ",11-01-2013, November ,2013
Government,France, VTT , Medium , $574.50 , $250.00 , $350.00 ," $201,075.00 "," $149,370.00 "," $35,619.00 ",04-01-2014, April ,2014
Government,France, VTT , Medium , $381.00 , $250.00 , $350.00 ," $133,350.00 "," $99,060.00 "," $23,622.00 ",08-01-2014, August ,2014
Government,France, Montana , Medium ," $1,666.00 ", $5.00 , $350.00 ," $583,100.00 "," $433,160.00 "," $97,461.00 ",05-01-2014, May ,2014
Small Business,France, Montana , Medium , $322.00 , $5.00 , $300.00 ," $96,600.00 "," $80,500.00 "," $7,406.00 ",09-01-2013, September ,2013
Enterprise,France, Montana , Medium ," $1,857.00 ", $5.00 , $125.00 ," $232,125.00 "," $222,840.00 "," $(11,606.25)",11-01-2013, November ,2013
Midmarket,France, Paseo , Medium ," $1,227.00 ", $10.00 , $15.00 ," $18,405.00 "," $12,270.00 "," $4,478.55 ",10-01-2014, October ,2014
Small Business,France, Paseo , Medium ," $1,324.00 ", $10.00 , $300.00 ," $397,200.00 "," $331,000.00 "," $30,452.00 ",11-01-2014, November ,2014
Channel Partners,France, VTT , Medium ," $2,234.00 ", $250.00 , $12.00 ," $26,808.00 "," $6,702.00 "," $17,693.28 ",09-01-2013, September ,2013
Midmarket,France, VTT , Medium ," $1,227.00 ", $250.00 , $15.00 ," $18,405.00 "," $12,270.00 "," $4,478.55 ",10-01-2014, October ,2014
Channel Partners,France, Velo , Medium ," $1,967.00 ", $120.00 , $12.00 ," $23,604.00 "," $5,901.00 "," $15,578.64 ",03-01-2014, March ,2014
Government,France, VTT , Medium ," $2,682.00 ", $250.00 , $20.00 ," $53,640.00 "," $26,820.00 "," $21,992.40 ",11-01-2013, November ,2013
Channel Partners,France, Amarilla , Medium , $306.00 , $260.00 , $12.00 ," $3,672.00 ", $918.00 ," $2,423.52 ",12-01-2013, December ,2013
Enterprise,France, Carretera , High ," $1,482.00 ", $3.00 , $125.00 ," $185,250.00 "," $177,840.00 "," $(11,115.00)",12-01-2013, December ,2013
Midmarket,France, Montana , High ," $2,072.00 ", $5.00 , $15.00 ," $31,080.00 "," $20,720.00 "," $7,252.00 ",12-01-2014, December ,2014
Government,France, Paseo , High ," $1,954.00 ", $10.00 , $20.00 ," $39,080.00 "," $19,540.00 "," $15,632.00 ",03-01-2014, March ,2014
Midmarket,France, Paseo , High ," $2,167.00 ", $10.00 , $15.00 ," $32,505.00 "," $21,670.00 "," $7,584.50 ",10-01-2013, October ,2013
Government,France, Velo , High , $639.00 , $120.00 , $350.00 ," $223,650.00 "," $166,140.00 "," $35,145.00 ",07-01-2014, July ,2014
Small Business,France, Velo , High , $853.00 , $120.00 , $300.00 ," $255,900.00 "," $213,250.00 "," $17,060.00 ",12-01-2014, December ,2014
Midmarket,France, VTT , High ," $2,167.00 ", $250.00 , $15.00 ," $32,505.00 "," $21,670.00 "," $7,584.50 ",10-01-2013, October ,2013
Midmarket,France, Amarilla , High ," $2,072.00 ", $260.00 , $15.00 ," $31,080.00 "," $20,720.00 "," $7,252.00 ",12-01-2014, December ,2014
Small Business,France, Amarilla , High , $853.00 , $260.00 , $300.00 ," $255,900.00 "," $213,250.00 "," $17,060.00 ",12-01-2014, December ,2014
Channel Partners,France, Carretera , High ," $1,198.00 ", $3.00 , $12.00 ," $14,376.00 "," $3,594.00 "," $9,200.64 ",10-01-2013, October ,2013
Government,France, Paseo , High ," $2,532.00 ", $10.00 , $7.00 ," $17,724.00 "," $12,660.00 "," $3,114.36 ",04-01-2014, April ,2014
Channel Partners,France, Paseo , High ," $1,198.00 ", $10.00 , $12.00 ," $14,376.00 "," $3,594.00 "," $9,200.64 ",10-01-2013, October ,2013
Enterprise,France, Carretera , High ," $2,441.00 ", $3.00 , $125.00 ," $305,125.00 "," $292,920.00 "," $(21,358.75)",10-01-2014, October ,2014
Channel Partners,France, Paseo , High ," $2,425.50 ", $10.00 , $12.00 ," $29,106.00 "," $7,276.50 "," $18,627.84 ",07-01-2014, July ,2014
Enterprise,France, Paseo , High ," $2,441.00 ", $10.00 , $125.00 ," $305,125.00 "," $292,920.00 "," $(21,358.75)",10-01-2014, October ,2014
Government,France, Velo , High ," $2,805.00 ", $120.00 , $20.00 ," $56,100.00 "," $28,050.00 "," $21,879.00 ",09-01-2013, September ,2013
Channel Partners,France, VTT , High ," $1,734.00 ", $250.00 , $12.00 ," $20,808.00 "," $5,202.00 "," $13,317.12 ",01-01-2014, January ,2014
Enterprise,France, Amarilla , High ," $1,433.00 ", $260.00 , $125.00 ," $179,125.00 "," $171,960.00 "," $(12,538.75)",05-01-2014, May ,2014
Small Business,France, Montana , High ," $1,773.00 ", $5.00 , $300.00 ," $531,900.00 "," $443,250.00 "," $24,822.00 ",04-01-2014, April ,2014
Small Business,France, Montana , High ," $1,186.00 ", $5.00 , $300.00 ," $355,800.00 "," $296,500.00 "," $16,604.00 ",12-01-2013, December ,2013
Government,France, Paseo , High ," $1,594.00 ", $10.00 , $350.00 ," $557,900.00 "," $414,440.00 "," $76,512.00 ",11-01-2014, November ,2014
Midmarket,France, VTT , High ," $3,874.50 ", $250.00 , $15.00 ," $58,117.50 "," $38,745.00 "," $12,398.40 ",07-01-2014, July ,2014
Government,France, Amarilla , High ," $3,421.50 ", $260.00 , $7.00 ," $23,950.50 "," $17,107.50 "," $3,968.94 ",07-01-2014, July ,2014
Government,France, Carretera , High ," $2,521.50 ", $3.00 , $20.00 ," $50,430.00 "," $25,215.00 "," $19,163.40 ",01-01-2014, January ,2014
Government,France, VTT , High ," $1,491.00 ", $250.00 , $7.00 ," $10,437.00 "," $7,455.00 "," $1,729.56 ",03-01-2014, March ,2014
Government,France, Carretera , High ," $1,790.00 ", $3.00 , $350.00 ," $626,500.00 "," $465,400.00 "," $79,655.00 ",03-01-2014, March ,2014
Government,France, Paseo , High ," $2,696.00 ", $10.00 , $7.00 ," $18,872.00 "," $13,480.00 "," $2,938.64 ",08-01-2014, August ,2014
Midmarket,France, Velo , High ," $3,997.50 ", $120.00 , $15.00 ," $59,962.50 "," $39,975.00 "," $12,192.38 ",01-01-2014, January ,2014
Government,France, Velo , High ," $1,190.00 ", $120.00 , $7.00 ," $8,330.00 "," $5,950.00 "," $1,297.10 ",06-01-2014, June ,2014
Government,France, Amarilla , High ," $1,190.00 ", $260.00 , $7.00 ," $8,330.00 "," $5,950.00 "," $1,297.10 ",06-01-2014, June ,2014
Government,France, Montana , High , $293.00 , $5.00 , $7.00 ," $2,051.00 "," $1,465.00 ", $298.86 ,02-01-2014, February ,2014
Channel Partners,France, Paseo , High ," $1,393.00 ", $10.00 , $12.00 ," $16,716.00 "," $4,179.00 "," $10,196.76 ",10-01-2014, October ,2014
Channel Partners,France, Amarilla , High ," $1,393.00 ", $260.00 , $12.00 ," $16,716.00 "," $4,179.00 "," $10,196.76 ",10-01-2014, October ,2014
Enterprise,France, Carretera , High ," $1,023.00 ", $3.00 , $125.00 ," $127,875.00 "," $122,760.00 "," $(12,787.50)",09-01-2013, September ,2013
Government,France, Paseo , High ," $1,731.00 ", $10.00 , $7.00 ," $12,117.00 "," $8,655.00 "," $1,765.62 ",10-01-2014, October ,2014
Government,France, Paseo , High ," $1,922.00 ", $10.00 , $350.00 ," $672,700.00 "," $499,720.00 "," $78,802.00 ",11-01-2013, November ,2013
Government,France, VTT , High ," $1,281.00 ", $250.00 , $350.00 ," $448,350.00 "," $333,060.00 "," $52,521.00 ",12-01-2013, December ,2013
Channel Partners,France, Amarilla , High ," $2,475.00 ", $260.00 , $12.00 ," $29,700.00 "," $7,425.00 "," $18,117.00 ",08-01-2014, August ,2014
Government,France, Amarilla , High ," $1,731.00 ", $260.00 , $7.00 ," $12,117.00 "," $8,655.00 "," $1,765.62 ",10-01-2014, October ,2014
Enterprise,France, Carretera , High ," $1,174.00 ", $3.00 , $125.00 ," $146,750.00 "," $140,880.00 "," $(16,142.50)",08-01-2014, August ,2014
Government,France, Paseo , High , $293.00 , $10.00 , $20.00 ," $5,860.00 "," $2,930.00 "," $2,051.00 ",12-01-2014, December ,2014
Midmarket,France, Velo , High ," $2,826.00 ", $120.00 , $15.00 ," $42,390.00 "," $28,260.00 "," $7,771.50 ",05-01-2014, May ,2014
Enterprise,France, Velo , High , $663.00 , $120.00 , $125.00 ," $82,875.00 "," $79,560.00 "," $(9,116.25)",09-01-2014, September ,2014
Government,France, VTT , High , $293.00 , $250.00 , $20.00 ," $5,860.00 "," $2,930.00 "," $2,051.00 ",12-01-2014, December ,2014
Small Business,France, Amarilla , High ," $2,475.00 ", $260.00 , $300.00 ," $742,500.00 "," $618,750.00 "," $12,375.00 ",03-01-2014, March ,2014
Channel Partners,Germany, Carretera , Low , $766.00 , $3.00 , $12.00 ," $9,192.00 "," $2,298.00 "," $6,802.08 ",10-01-2013, October ,2013
Midmarket,Germany, Paseo , Low , $747.00 , $10.00 , $15.00 ," $11,205.00 "," $7,470.00 "," $3,622.95 ",09-01-2014, September ,2014
Channel Partners,Germany, Paseo , Low , $766.00 , $10.00 , $12.00 ," $9,192.00 "," $2,298.00 "," $6,802.08 ",10-01-2013, October ,2013
Government,Germany, VTT , Low , $263.00 , $250.00 , $7.00 ," $1,841.00 "," $1,315.00 ", $507.59 ,03-01-2014, March ,2014
Small Business,Germany, VTT , Low , $986.00 , $250.00 , $300.00 ," $295,800.00 "," $246,500.00 "," $46,342.00 ",09-01-2014, September ,2014
Small Business,Germany, Carretera , Low , $214.00 , $3.00 , $300.00 ," $64,200.00 "," $53,500.00 "," $9,416.00 ",10-01-2013, October ,2013
Small Business,Germany, Paseo , Low ," $1,728.00 ", $10.00 , $300.00 ," $518,400.00 "," $432,000.00 "," $76,032.00 ",05-01-2014, May ,2014
Enterprise,Germany, Paseo , Low , $809.00 , $10.00 , $125.00 ," $101,125.00 "," $97,080.00 "," $2,022.50 ",10-01-2013, October ,2013
Government,Germany, Velo , Low ," $2,966.00 ", $120.00 , $350.00 ," $1,038,100.00 "," $771,160.00 "," $246,178.00 ",10-01-2013, October ,2013
Government,Germany, Velo , Low ," $2,877.00 ", $120.00 , $350.00 ," $1,006,950.00 "," $748,020.00 "," $238,791.00 ",10-01-2014, October ,2014
Enterprise,Germany, Velo , Low , $809.00 , $120.00 , $125.00 ," $101,125.00 "," $97,080.00 "," $2,022.50 ",10-01-2013, October ,2013
Small Business,Germany, VTT , Low , $214.00 , $250.00 , $300.00 ," $64,200.00 "," $53,500.00 "," $9,416.00 ",10-01-2013, October ,2013
Government,Germany, VTT , Low ," $2,877.00 ", $250.00 , $350.00 ," $1,006,950.00 "," $748,020.00 "," $238,791.00 ",10-01-2014, October ,2014
Small Business,Germany, Amarilla , Low , $259.00 , $260.00 , $300.00 ," $77,700.00 "," $64,750.00 "," $11,396.00 ",03-01-2014, March ,2014
Enterprise,Germany, Amarilla , Low ," $2,276.00 ", $260.00 , $125.00 ," $284,500.00 "," $273,120.00 "," $5,690.00 ",05-01-2014, May ,2014
Government,Germany, Amarilla , Low ," $2,966.00 ", $260.00 , $350.00 ," $1,038,100.00 "," $771,160.00 "," $246,178.00 ",10-01-2013, October ,2013
Government,Germany, Carretera , Low ," $2,580.00 ", $3.00 , $20.00 ," $51,600.00 "," $25,800.00 "," $24,252.00 ",04-01-2014, April ,2014
Small Business,Germany, Carretera , Low , $689.00 , $3.00 , $300.00 ," $206,700.00 "," $172,250.00 "," $28,249.00 ",06-01-2014, June ,2014
Government,Germany, Montana , Low ," $1,958.00 ", $5.00 , $7.00 ," $13,706.00 "," $9,790.00 "," $3,504.82 ",02-01-2014, February ,2014
Government,Germany, Montana , Low ," $1,797.00 ", $5.00 , $350.00 ," $628,950.00 "," $467,220.00 "," $142,861.50 ",09-01-2013, September ,2013
Enterprise,Germany, Montana , Low ," $1,706.00 ", $5.00 , $125.00 ," $213,250.00 "," $204,720.00 "," $2,132.50 ",12-01-2014, December ,2014
Small Business,Germany, Paseo , Low , $689.00 , $10.00 , $300.00 ," $206,700.00 "," $172,250.00 "," $28,249.00 ",06-01-2014, June ,2014
Enterprise,Germany, Paseo , Low ," $1,570.00 ", $10.00 , $125.00 ," $196,250.00 "," $188,400.00 "," $1,962.50 ",06-01-2014, June ,2014
Midmarket,Germany, Paseo , Low ," $1,945.00 ", $10.00 , $15.00 ," $29,175.00 "," $19,450.00 "," $8,849.75 ",10-01-2013, October ,2013
Enterprise,Germany, Paseo , Low ," $1,706.00 ", $10.00 , $125.00 ," $213,250.00 "," $204,720.00 "," $2,132.50 ",12-01-2014, December ,2014
Enterprise,Germany, VTT , Low ," $1,570.00 ", $250.00 , $125.00 ," $196,250.00 "," $188,400.00 "," $1,962.50 ",06-01-2014, June ,2014
Midmarket,Germany, VTT , Low ," $1,945.00 ", $250.00 , $15.00 ," $29,175.00 "," $19,450.00 "," $8,849.75 ",10-01-2013, October ,2013
Channel Partners,Germany, VTT , Low ," $2,479.00 ", $250.00 , $12.00 ," $29,748.00 "," $7,437.00 "," $21,418.56 ",01-01-2014, January ,2014
Small Business,Germany, Carretera , Low ," $2,021.00 ", $3.00 , $300.00 ," $606,300.00 "," $505,250.00 "," $76,798.00 ",10-01-2014, October ,2014
Small Business,Germany, Montana , Low ," $1,859.00 ", $5.00 , $300.00 ," $557,700.00 "," $464,750.00 "," $70,642.00 ",08-01-2014, August ,2014
Small Business,Germany, Montana , Low ," $2,021.00 ", $5.00 , $300.00 ," $606,300.00 "," $505,250.00 "," $76,798.00 ",10-01-2014, October ,2014
Small Business,Germany, Paseo , Low ," $1,414.50 ", $10.00 , $300.00 ," $424,350.00 "," $353,625.00 "," $53,751.00 ",04-01-2014, April ,2014
Government,Germany, Amarilla , Low ," $1,907.00 ", $260.00 , $350.00 ," $667,450.00 "," $495,820.00 "," $144,932.00 ",09-01-2014, September ,2014
Government,Germany, Montana , Medium ," $1,159.00 ", $5.00 , $7.00 ," $8,113.00 "," $5,795.00 "," $1,912.35 ",10-01-2013, October ,2013
Government,Germany, Paseo , Medium ," $1,372.00 ", $10.00 , $7.00 ," $9,604.00 "," $6,860.00 "," $2,263.80 ",01-01-2014, January ,2014
Government,Germany, Amarilla , Medium ," $1,159.00 ", $260.00 , $7.00 ," $8,113.00 "," $5,795.00 "," $1,912.35 ",10-01-2013, October ,2013
Channel Partners,Germany, Carretera , Medium ," $1,116.00 ", $3.00 , $12.00 ," $13,392.00 "," $3,348.00 "," $9,374.40 ",02-01-2014, February ,2014
Government,Germany, Carretera , Medium ," $1,016.00 ", $3.00 , $7.00 ," $7,112.00 "," $5,080.00 "," $1,676.40 ",11-01-2013, November ,2013
Channel Partners,Germany, Montana , Medium ," $2,342.00 ", $5.00 , $12.00 ," $28,104.00 "," $7,026.00 "," $19,672.80 ",11-01-2014, November ,2014
Midmarket,Germany, Paseo , Medium ," $2,116.00 ", $10.00 , $15.00 ," $31,740.00 "," $21,160.00 "," $8,993.00 ",12-01-2013, December ,2013
Enterprise,Germany, Velo , Medium , $807.00 , $120.00 , $125.00 ," $100,875.00 "," $96,840.00 "," $(1,008.75)",02-01-2014, February ,2014
Small Business,Germany, Velo , Medium ," $1,250.00 ", $120.00 , $300.00 ," $375,000.00 "," $312,500.00 "," $43,750.00 ",12-01-2014, December ,2014
Government,Germany, VTT , Medium ," $2,297.00 ", $250.00 , $20.00 ," $45,940.00 "," $22,970.00 "," $20,673.00 ",11-01-2013, November ,2013
Government,Germany, Amarilla , Medium ," $1,350.00 ", $260.00 , $350.00 ," $472,500.00 "," $351,000.00 "," $97,875.00 ",02-01-2014, February ,2014
Small Business,Germany, Amarilla , Medium ," $1,250.00 ", $260.00 , $300.00 ," $375,000.00 "," $312,500.00 "," $43,750.00 ",12-01-2014, December ,2014
Enterprise,Germany, Carretera , Medium , $887.00 , $3.00 , $125.00 ," $110,875.00 "," $106,440.00 "," $(2,217.50)",12-01-2013, December ,2013
Government,Germany, Montana , Medium ," $1,460.00 ", $5.00 , $350.00 ," $511,000.00 "," $379,600.00 "," $100,740.00 ",05-01-2014, May ,2014
Midmarket,Germany, Velo , Medium ," $1,530.00 ", $120.00 , $15.00 ," $22,950.00 "," $15,300.00 "," $6,273.00 ",05-01-2014, May ,2014
Midmarket,Germany, Paseo , Medium ," $1,743.00 ", $10.00 , $15.00 ," $26,145.00 "," $17,430.00 "," $7,146.30 ",08-01-2014, August ,2014
Government,Germany, Velo , Medium ," $1,001.00 ", $120.00 , $20.00 ," $20,020.00 "," $10,010.00 "," $8,808.80 ",08-01-2014, August ,2014
Channel Partners,Germany, VTT , Medium ," $2,215.00 ", $250.00 , $12.00 ," $26,580.00 "," $6,645.00 "," $18,074.40 ",09-01-2013, September ,2013
Enterprise,Germany, Montana , Medium ," $2,500.00 ", $5.00 , $125.00 ," $312,500.00 "," $300,000.00 "," $(9,375.00)",11-01-2013, November ,2013
Enterprise,Germany, Paseo , Medium ," $3,513.00 ", $10.00 , $125.00 ," $439,125.00 "," $421,560.00 "," $(13,173.75)",07-01-2014, July ,2014
Small Business,Germany, Paseo , Medium ," $1,123.00 ", $10.00 , $300.00 ," $336,900.00 "," $280,750.00 "," $32,567.00 ",09-01-2013, September ,2013
Government,Germany, Paseo , Medium ," $2,125.00 ", $10.00 , $7.00 ," $14,875.00 "," $10,625.00 "," $3,208.75 ",12-01-2013, December ,2013
Enterprise,Germany, Velo , Medium ," $2,087.00 ", $120.00 , $125.00 ," $260,875.00 "," $250,440.00 "," $(7,826.25)",09-01-2014, September ,2014
Government,Germany, Velo , Medium , $588.00 , $120.00 , $20.00 ," $11,760.00 "," $5,880.00 "," $5,056.80 ",12-01-2013, December ,2013
Enterprise,Germany, Amarilla , Medium , $994.00 , $260.00 , $125.00 ," $124,250.00 "," $119,280.00 "," $(3,727.50)",09-01-2013, September ,2013
Government,Germany, Montana , Medium , $645.00 , $5.00 , $20.00 ," $12,900.00 "," $6,450.00 "," $5,418.00 ",07-01-2014, July ,2014
Midmarket,Germany, Montana , Medium , $711.00 , $5.00 , $15.00 ," $10,665.00 "," $7,110.00 "," $2,701.80 ",12-01-2014, December ,2014
Government,Germany, Paseo , Medium ," $1,259.00 ", $10.00 , $7.00 ," $8,813.00 "," $6,295.00 "," $1,812.96 ",04-01-2014, April ,2014
Government,Germany, Paseo , Medium ," $1,095.00 ", $10.00 , $7.00 ," $7,665.00 "," $5,475.00 "," $1,576.80 ",05-01-2014, May ,2014
Government,Germany, Paseo , Medium ," $1,366.00 ", $10.00 , $20.00 ," $27,320.00 "," $13,660.00 "," $11,474.40 ",06-01-2014, June ,2014
Government,Germany, Paseo , Medium ," $1,598.00 ", $10.00 , $7.00 ," $11,186.00 "," $7,990.00 "," $2,301.12 ",08-01-2014, August ,2014
Government,Germany, Paseo , Medium ," $2,409.00 ", $10.00 , $7.00 ," $16,863.00 "," $12,045.00 "," $3,468.96 ",09-01-2013, September ,2013
Government,Germany, Paseo , Medium ," $1,934.00 ", $10.00 , $20.00 ," $38,680.00 "," $19,340.00 "," $16,245.60 ",09-01-2014, September ,2014
Government,Germany, Paseo , Medium ," $2,146.00 ", $10.00 , $350.00 ," $751,100.00 "," $557,960.00 "," $133,052.00 ",11-01-2013, November ,2013
Government,Germany, Velo , Medium ," $2,338.00 ", $120.00 , $7.00 ," $16,366.00 "," $11,690.00 "," $3,366.72 ",06-01-2014, June ,2014
Government,Germany, VTT , Medium ," $2,338.00 ", $250.00 , $7.00 ," $16,366.00 "," $11,690.00 "," $3,366.72 ",06-01-2014, June ,2014
Government,Germany, VTT , Medium , $422.00 , $250.00 , $350.00 ," $147,700.00 "," $109,720.00 "," $26,164.00 ",08-01-2014, August ,2014
Government,Germany, Amarilla , Medium ," $1,366.00 ", $260.00 , $20.00 ," $27,320.00 "," $13,660.00 "," $11,474.40 ",06-01-2014, June ,2014
Government,Germany, Amarilla , Medium ," $1,520.00 ", $260.00 , $20.00 ," $30,400.00 "," $15,200.00 "," $12,768.00 ",11-01-2014, November ,2014
Midmarket,Germany, Amarilla , Medium , $711.00 , $260.00 , $15.00 ," $10,665.00 "," $7,110.00 "," $2,701.80 ",12-01-2014, December ,2014
Small Business,Germany, Montana , Medium , $334.00 , $5.00 , $300.00 ," $100,200.00 "," $83,500.00 "," $7,682.00 ",12-01-2013, December ,2013
Channel Partners,Germany, Paseo , Medium ," $1,775.00 ", $10.00 , $12.00 ," $21,300.00 "," $5,325.00 "," $14,058.00 ",11-01-2013, November ,2013
Government,Germany, Velo , Medium ," $1,307.00 ", $120.00 , $350.00 ," $457,450.00 "," $339,820.00 "," $76,459.50 ",07-01-2014, July ,2014
Small Business,Germany, VTT , Medium ," $2,659.00 ", $250.00 , $300.00 ," $797,700.00 "," $664,750.00 "," $61,157.00 ",02-01-2014, February ,2014
Channel Partners,Germany, VTT , Medium , $880.00 , $250.00 , $12.00 ," $10,560.00 "," $2,640.00 "," $6,969.60 ",05-01-2014, May ,2014
Midmarket,Germany, Amarilla , Medium , $970.00 , $260.00 , $15.00 ," $14,550.00 "," $9,700.00 "," $3,540.50 ",11-01-2013, November ,2013
Government,Germany, Carretera , Medium , $663.00 , $3.00 , $20.00 ," $13,260.00 "," $6,630.00 "," $5,436.60 ",05-01-2014, May ,2014
Channel Partners,Germany, Carretera , Medium ," $1,580.00 ", $3.00 , $12.00 ," $18,960.00 "," $4,740.00 "," $12,513.60 ",09-01-2014, September ,2014
Government,Germany, Paseo , Medium , $360.00 , $10.00 , $7.00 ," $2,520.00 "," $1,800.00 ", $493.20 ,10-01-2014, October ,2014
Government,Germany, VTT , Medium , $360.00 , $250.00 , $7.00 ," $2,520.00 "," $1,800.00 ", $493.20 ,10-01-2014, October ,2014
Government,Germany, Paseo , High , $241.00 , $10.00 , $20.00 ," $4,820.00 "," $2,410.00 "," $1,928.00 ",10-01-2014, October ,2014
Midmarket,Germany, Velo , High , $681.00 , $120.00 , $15.00 ," $10,215.00 "," $6,810.00 "," $2,383.50 ",01-01-2014, January ,2014
Midmarket,Germany, Velo , High , $510.00 , $120.00 , $15.00 ," $7,650.00 "," $5,100.00 "," $1,785.00 ",04-01-2014, April ,2014
Government,Germany, Velo , High , $241.00 , $120.00 , $20.00 ," $4,820.00 "," $2,410.00 "," $1,928.00 ",10-01-2014, October ,2014
Government,Germany, Velo , High ," $2,665.00 ", $120.00 , $7.00 ," $18,655.00 "," $13,325.00 "," $3,464.50 ",11-01-2014, November ,2014
Government,Germany, VTT , High ," $1,870.00 ", $250.00 , $350.00 ," $654,500.00 "," $486,200.00 "," $102,850.00 ",12-01-2013, December ,2013
Channel Partners,Germany, Amarilla , High ," $2,574.00 ", $260.00 , $12.00 ," $30,888.00 "," $7,722.00 "," $20,077.20 ",08-01-2014, August ,2014
Channel Partners,Germany, Velo , High , $472.00 , $120.00 , $12.00 ," $5,664.00 "," $1,416.00 "," $3,624.96 ",10-01-2014, October ,2014
Channel Partners,Germany, Amarilla , High , $472.00 , $260.00 , $12.00 ," $5,664.00 "," $1,416.00 "," $3,624.96 ",10-01-2014, October ,2014
Government,Germany, Carretera , High , $792.00 , $3.00 , $350.00 ," $277,200.00 "," $205,920.00 "," $40,788.00 ",03-01-2014, March ,2014
Small Business,Germany, Carretera , High ," $2,811.00 ", $3.00 , $300.00 ," $843,300.00 "," $702,750.00 "," $47,787.00 ",07-01-2014, July ,2014
Government,Germany, Montana , High , $766.00 , $5.00 , $350.00 ," $268,100.00 "," $199,160.00 "," $39,449.00 ",01-01-2014, January ,2014
Government,Germany, Montana , High ," $2,992.00 ", $5.00 , $20.00 ," $59,840.00 "," $29,920.00 "," $23,337.60 ",10-01-2013, October ,2013
Government,Germany, Paseo , High ," $2,992.00 ", $10.00 , $20.00 ," $59,840.00 "," $29,920.00 "," $23,337.60 ",10-01-2013, October ,2013
Enterprise,Germany, Amarilla , High ," $3,165.00 ", $260.00 , $125.00 ," $395,625.00 "," $379,800.00 "," $(27,693.75)",01-01-2014, January ,2014
